TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
biom,FingerprintCaptureTechniqueCategoryCodeSimpleType,biom:FingerprintCaptureTechniqueCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint capture technique type.,biom,FingerprintCaptureTechniqueCategoryCodeType,biom:FingerprintCaptureTechniqueCategoryCodeType,,,
scr,FingerprintCaptureTechniqueCategoryCodeSimpleType,scr:FingerprintCaptureTechniqueCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint capture technique type.,scr,FingerprintCaptureTechniqueCategoryCodeType,scr:FingerprintCaptureTechniqueCategoryCodeType,,,
biom,FingerprintCaptureTechniqueCategoryCodeType,biom:FingerprintCaptureTechniqueCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint capture technique type.,,,,,,
scr,FingerprintCaptureTechniqueCategoryCodeType,scr:FingerprintCaptureTechniqueCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint capture technique type.,,,,,,
biom,FingerprintCaptureTechniqueType,biom:FingerprintCaptureTechniqueType,CCC,FALSE,FALSE,FALSE,,,,A data type for kind of fingerprint capture technique type.,,,,,,
scr,FingerprintCategoryCodeSimpleType,scr:FingerprintCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint type.,scr,FingerprintCategoryCodeType,scr:FingerprintCategoryCodeType,,,
scr,FingerprintCategoryCodeType,scr:FingerprintCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint type.,,,,,,
biom,FingerprintCoordinateType,biom:FingerprintCoordinateType,CCC,FALSE,FALSE,FALSE,,,,A data type for coordinates of the bounding box for an individual finger.,,,,,,
biom,FingerprintDeltaLocationType,biom:FingerprintDeltaLocationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a location of a delta in a fingerprint image,,,,,,
biom,FingerprintFeatureLocationType,biom:FingerprintFeatureLocationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a location of a minutia or finger pattern characteristic in a fingerprint image,,,,,,
biom,FingerprintFeaturesFeedbackType,biom:FingerprintFeaturesFeedbackType,CCC,FALSE,FALSE,FALSE,,,,A data type for supplemental proprietary values describing minutiae and related information encoded from a fingerprint image.,,,,,,
biom,FingerprintImageFingerMissingType,biom:FingerprintImageFingerMissingType,CCC,FALSE,FALSE,FALSE,,,,A data type for a missing finger in a fingerprint image,,,,,,
biom,FingerprintImageMajorCasePrintType,biom:FingerprintImageMajorCasePrintType,CCC,FALSE,FALSE,FALSE,,,,A data type for a major case fingerprint image,,,,,,
biom,FingerprintImageMissingAreaReasonCodeSimpleType,biom:FingerprintImageMissingAreaReasonCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a reason a fingerprint, facial image is missing",biom,FingerprintImageMissingAreaReasonCodeType,biom:FingerprintImageMissingAreaReasonCodeType,,,
biom,FingerprintImageMissingAreaReasonCodeSimpleType,biom:FingerprintImageMissingAreaReasonCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a reason a fingerprint, facial image is missing",biom,FacialImageMissingReasonCodeType,biom:FacialImageMissingReasonCodeType,,,
biom,FingerprintImageMissingAreaReasonCodeType,biom:FingerprintImageMissingAreaReasonCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a reason a fingerprint is missing,,,,,,
biom,FingerprintImageNISTQualityType,biom:FingerprintImageNISTQualityType,CCC,FALSE,FALSE,FALSE,,,,A data type for a NIST quality measure for a particular fingerprint,,,,,,
biom,FingerprintImageQualityType,biom:FingerprintImageQualityType,CCC,FALSE,FALSE,FALSE,,,,A data type for a quality measure for a particular fingerprint,,,,,,
biom,FingerprintImageSegmentPositionSquareType,biom:FingerprintImageSegmentPositionSquareType,CCC,FALSE,FALSE,FALSE,,,,A data type for a square segment position for a particular fingerprint,,,,,,
biom,FingerprintImageType,biom:FingerprintImageType,CCC,FALSE,FALSE,FALSE,,,,A data type for a fingerprint image,,,,biom,ImageType,biom:ImageType
scr,FingerprintImpressionCategoryCodeSimpleType,scr:FingerprintImpressionCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of fingerprint impression.,,,,,,
scr,FingerprintPatternCategoryCodeSimpleType,scr:FingerprintPatternCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a classification of fingerprint patterns into distinct groups based on general similarities.,,,,,,
biom,FingerprintPatternGeneralClassCodeSimpleType,biom:FingerprintPatternGeneralClassCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a class of fingerprint pattern used by most automated fingerprint information systems,biom,FingerprintPatternGeneralClassCodeType,biom:FingerprintPatternGeneralClassCodeType,,,
biom,FingerprintPatternGeneralClassCodeType,biom:FingerprintPatternGeneralClassCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a class of fingerprint pattern used by most automated fingerprint information systems,,,,,,
biom,FingerprintPatternSubClassCodeSimpleType,biom:FingerprintPatternSubClassCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a detailed subclassification of fingerprint patterns arches and whorls,biom,FingerprintPatternSubClassCodeType,biom:FingerprintPatternSubClassCodeType,,,
biom,FingerprintPatternSubClassCodeSimpleType,biom:FingerprintPatternSubClassCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a detailed subclassification of fingerprint patterns arches and whorls,biom,FingerprintPatternWhorlDeltaRelationshipCodeType,biom:FingerprintPatternWhorlDeltaRelationshipCodeType,,,
biom,FingerprintPatternSubClassCodeType,biom:FingerprintPatternSubClassCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a detailed subclassification of fingerprint patterns arches and whorls,,,,,,
biom,FingerprintPatternWhorlDeltaRelationshipCodeSimpleType,biom:FingerprintPatternWhorlDeltaRelationshipCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a relationship between a whorl and a delta in a fingerprint pattern,,,,,,
biom,FingerprintPatternWhorlDeltaRelationshipCodeType,biom:FingerprintPatternWhorlDeltaRelationshipCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a relationship between a whorl and a delta in a fingerprint pattern,,,,,,
biom,FingerprintPositionListType,biom:FingerprintPositionListType,CCC,FALSE,FALSE,FALSE,,,,A data type for a list of finger positions,,,,,,
biom,FingerViewCodeSimpleType,biom:FingerViewCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of finger view,biom,FingerViewCodeType,biom:FingerViewCodeType,,,
biom,FingerViewCodeType,biom:FingerViewCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of finger view,,,,,,
em,FIPS201ConformanceCodeSimpleType,em:FIPS201ConformanceCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type code that represents the FIPS 201 conformance level of an identification card,em,FIPS201ConformanceCodeType,em:FIPS201ConformanceCodeType,,,
em,FIPS201ConformanceCodeType,em:FIPS201ConformanceCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that represents the FIPS 201 conformance level of an identification card,,,,,,
j,FirearmType,j:FirearmType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a weapon that will, or is designed to, or may readily be converted to expel a projectile by air, carbon dioxide, or the action of an explosive.",,,,nc,ItemType,nc:ItemType
mmucc,FirstConditionCrashCodeSimpleType,mmucc:FirstConditionCrashCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for any relevant condition of the individual (motorist or non-motorist) that is directly related to the crash.,mmucc,FirstConditionCrashCodeType,mmucc:FirstConditionCrashCodeType,,,
mmucc,FirstConditionCrashCodeType,mmucc:FirstConditionCrashCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for any relevant condition of the individual (motorist or non-motorist) that is directly related to the crash.,,,,,,
biom,FirstRecordCategoryCodeSimpleType,biom:FirstRecordCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of first record,biom,FirstRecordCategoryCodeType,biom:FirstRecordCategoryCodeType,,,
biom,FirstRecordCategoryCodeType,biom:FirstRecordCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of first record,,,,,,
em,FirstResponderAvailabilityStatusCodeSimpleType,em:FirstResponderAvailabilityStatusCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that describes the status of availability,em,FirstResponderAvailabilityStatusCodeType,em:FirstResponderAvailabilityStatusCodeType,,,
em,FirstResponderAvailabilityStatusCodeType,em:FirstResponderAvailabilityStatusCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that describes if a first responder is available,,,,,,
em,FirstResponderFilterType,em:FirstResponderFilterType,CCC,FALSE,FALSE,FALSE,,,,A data type for filtering result of a search for first responders,,,,,,
em,FirstResponderType,em:FirstResponderType,CCC,FALSE,FALSE,FALSE,,,,A data type for a person who is a first responder,,,,,,
scr,FlightPlanSummaryType,scr:FlightPlanSummaryType,CCC,FALSE,FALSE,FALSE,,,,A data type for representing information related to a specific flight plan,,,,nc,DocumentType,nc:DocumentType
niem-xs,float,niem-xs:float,CSC,FALSE,FALSE,FALSE,,,,"A data type that is patterned after the IEEE single-precision 32-bit floating point type [IEEE 754-1985]. The basic value space of float consists of the values m x 2^e, where m is an integer whose absolute value is less than 2^24, and e is an integer between -149 and 104, inclusive. In addition to the basic value space described above, the value space of float also contains the following three special values: positive and negative infinity and not-a-number (NaN).",,,,,,
xs,float,xs:float,S,FALSE,FALSE,FALSE,,,,"A data type that is patterned after the IEEE single-precision 32-bit floating point type [IEEE 754-1985]. The basic value space of float consists of the values m x 2^e, where m is an integer whose absolute value is less than 2^24, and e is an integer between -149 and 104, inclusive. In addition to the basic value space described above, the value space of float also contains the following three special values: positive and negative infinity and not-a-number (NaN).",niem-xs,float,niem-xs:float,,,
ucr,ForceCategoryCodeSimpleType,ucr:ForceCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for kinds of weapons or forces used by a subject in committing an offense.,ucr,ForceCategoryCodeType,ucr:ForceCategoryCodeType,,,
ucr,ForceCategoryCodeType,ucr:ForceCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for kinds of weapons or forces used by a subject in committing an offense.,,,,,,
mo,ForceManagementIDSimpleType,mo:ForceManagementIDSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a  set of identifiers and indexes used to identify data within the GFM XSD. FMIDs convey no information about the entity they identify, are a fixed size, and are exchanged as a single attribute.",mo,ForceManagementIDType,mo:ForceManagementIDType,,,
mo,ForceManagementIDType,mo:ForceManagementIDType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a  set of identifiers and indexes used to identify data within the GFM XSD. FMIDs convey no information about the entity they identify, are a fixed size, and are exchanged as a single attribute.",,,,,,
j,ForceType,j:ForceType,CCC,FALSE,FALSE,FALSE,,,,"A data type for details of a force used, whether physical or aided by a tool or weapon.",,,,nc,ActivityType,nc:ActivityType
im,ForeignBornChildOfCitizenRoleType,im:ForeignBornChildOfCitizenRoleType,CCC,FALSE,FALSE,FALSE,,,,A data type for the role of Foreign Born Child of Citizen that is played by a Person with respect to a Country.,,,,im,CitizenRoleType,im:CitizenRoleType
biom,ForensicAnalystCategoryCodeSimpleType,biom:ForensicAnalystCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that contains a single letter describing the head of the team that processed the forensic data,biom,ForensicAnalystCategoryCodeType,biom:ForensicAnalystCategoryCodeType,,,
biom,ForensicAnalystCategoryCodeType,biom:ForensicAnalystCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that contains a single letter describing the head of the team that processed the forensic data,,,,,,
biom,ForensicDentalOralDetailType,biom:ForensicDentalOralDetailType,CCC,FALSE,FALSE,FALSE,,,,A data type for a forensic dental and oral record detail,,,,,,
biom,ForensicDentalSettingType,biom:ForensicDentalSettingType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of information regarding the forensic setting information that carried out the analysis of the dental and oral data to identify or confirm the identity of the subject.,,,,,,
biom,ForensicInvestigatoryVoiceDetailType,biom:ForensicInvestigatoryVoiceDetailType,CCC,FALSE,FALSE,FALSE,,,,A data type for a Forensic and Investigatory Voice Detail,,,,biom,ExtendedAudioPackageDataRecordType,biom:ExtendedAudioPackageDataRecordType
ndex,ForensicSpecimenCodeSimpleType,ndex:ForensicSpecimenCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of forensic specimen collected.,ndex,ForensicSpecimenCodeType,ndex:ForensicSpecimenCodeType,,,
ndex,ForensicSpecimenCodeType,ndex:ForensicSpecimenCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of forensic specimen collected.,,,,,,
j,ForensicSpecimenType,j:ForensicSpecimenType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a specimen collected for the purpose of analysis which may be of use as evidence in criminal, civil, judicial, or administrative proceedings.",,,,nc,SubstanceType,nc:SubstanceType
hs,FosterCareCasePlanGoalCodeSimpleType,hs:FosterCareCasePlanGoalCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for foster care plan goals.,hs,FosterCareCasePlanGoalCodeType,hs:FosterCareCasePlanGoalCodeType,,,
hs,FosterCareCasePlanGoalCodeType,hs:FosterCareCasePlanGoalCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for foster care plan goals.,,,,,,
cyfs,FosterCareFundingSourceCodeSimpleType,cyfs:FosterCareFundingSourceCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for decribing a source for foster care funding.,cyfs,FosterCareFundingSourceCodeType,cyfs:FosterCareFundingSourceCodeType,,,
cyfs,FosterCareFundingSourceCodeType,cyfs:FosterCareFundingSourceCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for decribing a source for foster care funding.,,,,,,
cyfs,FosterCareRemovalReasonCodeSimpleType,cyfs:FosterCareRemovalReasonCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for reasons a child was removed from a foster care placement.,cyfs,FosterCareRemovalReasonCodeType,cyfs:FosterCareRemovalReasonCodeType,,,
cyfs,FosterCareRemovalReasonCodeType,cyfs:FosterCareRemovalReasonCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for reasons a child was removed from a foster care placement.,,,,,,
cyfs,FosterParentChildAssociationType,cyfs:FosterParentChildAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between a child and a foster parent.,,,,cyfs,ParentChildAssociationType,cyfs:ParentChildAssociationType
biom,FrictionRidgeImageQualityType,biom:FrictionRidgeImageQualityType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a quality measure for a generic friction ridge
  image",,,,,,
biom,FrictionRidgeImageSegmentPositionSquareType,biom:FrictionRidgeImageSegmentPositionSquareType,CCC,FALSE,FALSE,FALSE,,,,A data type for a square segment position for a particular friction ridge,,,,,,
biom,FrictionRidgeImageType,biom:FrictionRidgeImageType,CCC,FALSE,FALSE,FALSE,,,,A data type for a friction ridge image,,,,biom,ImageType,biom:ImageType
biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a friction ridge image position,biom,FrictionRidgePositionCodeType,biom:FrictionRidgePositionCodeType,,,
biom,FrictionRidgePositionCodeType,biom:FrictionRidgePositionCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a friction ridge position code,,,,,,
nc,FullTelephoneNumberType,nc:FullTelephoneNumberType,CCC,FALSE,FALSE,FALSE,,,,A data type for a full telephone number.,,,,,,
j,FuneralLeaveType,j:FuneralLeaveType,CCC,FALSE,FALSE,FALSE,,,,A data type for a temporary leave of custody for the purpose of attending the funeral of a close family member.,,,,nc,ActivityType,nc:ActivityType
j,FuneralType,j:FuneralType,CCC,FALSE,FALSE,FALSE,,,,A data type for a memorial or religious event for the recently deceased.,,,,nc,ActivityType,nc:ActivityType
cbrn,FWHMCalibrationType,cbrn:FWHMCalibrationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a FWHM calibration.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,FWHMKeVType,cbrn:FWHMKeVType,CSC,FALSE,FALSE,FALSE,,,,A data type for a FWHM measure whose values are positive and measured in keV.,,,,,,
cbrn,FWHMUncertaintiesKeVType,cbrn:FWHMUncertaintiesKeVType,CSC,FALSE,FALSE,FALSE,,,,A data type for FWHM uncertaintymeasure whose values are nonnegative and measured in keV.,,,,cbrn,NonNegativeDoubleListType,cbrn:NonNegativeDoubleListType
ndex,GamblingEquipmentCategoryCodeSimpleType,ndex:GamblingEquipmentCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of games and/or gambling apparatus.,ndex,GamblingEquipmentCategoryCodeType,ndex:GamblingEquipmentCategoryCodeType,,,
ndex,GamblingEquipmentCategoryCodeType,ndex:GamblingEquipmentCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of games and/or gambling apparatus.,,,,,,
ndex,GangInvolvementCategoryCodeSimpleType,ndex:GangInvolvementCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies gang involvement of offenders in an offense.,ndex,GangInvolvementCategoryCodeType,ndex:GangInvolvementCategoryCodeType,,,
ndex,GangInvolvementCategoryCodeType,ndex:GangInvolvementCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies gang involvement of offenders in an offense.,,,,,,
niem-xs,gDay,niem-xs:gDay,CSC,FALSE,FALSE,FALSE,,,,"A data type for a gregorian day that recurs, specifically a day of the month such as the 5th of the month. Arbitrary recurring days are not supported by this datatype. The value space of gDay is the space of a set of calendar dates as defined in Section 3 of [ISO 8601]. Specifically, it is a set of one-day long, monthly periodic instances.",,,,,,
xs,gDay,xs:gDay,S,FALSE,FALSE,FALSE,,,,"gDay is a gregorian day that recurs, specifically a day of the month such as the 5th of the month.",intel,DayType,intel:DayType,,,
xs,gDay,xs:gDay,S,FALSE,FALSE,FALSE,,,,"gDay is a gregorian day that recurs, specifically a day of the month such as the 5th of the month.",niem-xs,gDay,niem-xs:gDay,,,
em,GeneralNotificationType,em:GeneralNotificationType,CCC,FALSE,FALSE,FALSE,,,,A data type to represent a generalized notification to broadcast,,,,,,
biom,GeodeticDatumCoordinateSystemCodeSimpleType,biom:GeodeticDatumCoordinateSystemCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a geospatial coordinate system,biom,GeodeticDatumCoordinateSystemCodeType,biom:GeodeticDatumCoordinateSystemCodeType,,,
biom,GeodeticDatumCoordinateSystemCodeType,biom:GeodeticDatumCoordinateSystemCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a geospatial coordinate system,,,,,,
cbrn,GeographicPointType,cbrn:GeographicPointType,CCC,FALSE,FALSE,FALSE,,,,"A data type for geographical coordinates of a point on the surface of the earth. For latitudes, positive values correspond to Northern latitudes, and negative values to Southern; for longitudes, positive values are Eastern longitudes and negative are Western. The units of measure for  elevation and positional accuracy elements is given by the units attribute.",,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
geo,GeometryType,geo:GeometryType,CCC,FALSE,TRUE,FALSE,,,,A data type that encapsulates a GML geometry element.,,,,,,
mo,GeospatialLocationAugmentationType,mo:GeospatialLocationAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a nc:Location.,,,,,,
niem-xs,gMonth,niem-xs:gMonth,CSC,FALSE,FALSE,FALSE,,,,A data type for a Gregorian month with the format --MM--.,,,,,,
xs,gMonth,xs:gMonth,S,FALSE,FALSE,FALSE,,,,A data type for a Gregorian month with the format --MM--.,niem-xs,gMonth,niem-xs:gMonth,,,
niem-xs,gMonthDay,niem-xs:gMonthDay,CSC,FALSE,FALSE,FALSE,,,,"A data type for a gregorian date that recurs, specifically a day of the year such as the third of May. Arbitrary recurring dates are not supported by this datatype. The value space of gMonthDay is the set of calendar dates, as defined in Section 3 of [ISO 8601]. Specifically, it is a set of one-day long, annually periodic instances.",,,,,,
xs,gMonthDay,xs:gMonthDay,S,FALSE,FALSE,FALSE,,,,"A data type for a gregorian date that recurs, specifically a day of the year such as the third of May. Arbitrary recurring dates are not supported by this datatype. The value space of gMonthDay is the set of calendar dates, as defined in Section 3 of [ISO 8601]. Specifically, it is a set of one-day long, annually periodic instances.",niem-xs,gMonthDay,niem-xs:gMonthDay,,,
cbrncl,GNDAOrgCodeSimpleType,cbrncl:GNDAOrgCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for list of organizations that participate in the Global Nuclear Detection Architecture.,cbrncl,GNDAOrgCodeType,cbrncl:GNDAOrgCodeType,,,
cbrncl,GNDAOrgCodeType,cbrncl:GNDAOrgCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a list of organizations that participate in the Global Nuclear Detection Architecture.,,,,,,
cyfs,GoalObjectiveType,cyfs:GoalObjectiveType,CCC,FALSE,FALSE,FALSE,,,,A data type for describing a subset of a service plan goal.,,,,nc,ActivityType,nc:ActivityType
j,GoalType,j:GoalType,CCC,FALSE,FALSE,FALSE,,,,A data type for a high-level outcome expected following an activity to address a need.,,,,,,
it,GoodsItemType,it:GoodsItemType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a specific Item sent for sale, storage, or shipment.",,,,nc,ItemType,nc:ItemType
it,GoodsLocationType,it:GoodsLocationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a name of the place where goods are located.,,,,nc,LocationType,nc:LocationType
it,GoodsMeasureType,it:GoodsMeasureType,CCC,FALSE,FALSE,FALSE,,,,A data type for a weight measurement characteristic.,,,,nc,MeasureType,nc:MeasureType
it,GoodsOriginType,it:GoodsOriginType,CCC,FALSE,FALSE,FALSE,,,,A data type to identify the place of origin for the goods manufactured or produced.,,,,nc,LocationType,nc:LocationType
it,GoodsShipmentType,it:GoodsShipmentType,CCC,FALSE,FALSE,FALSE,,,,A data type for a shipment of goods,,,,nc,ActivityType,nc:ActivityType
ndex,GrainCategoryCodeSimpleType,ndex:GrainCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of grain.,ndex,GrainCategoryCodeType,ndex:GrainCategoryCodeType,,,
ndex,GrainCategoryCodeType,ndex:GrainCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a type of grain.,,,,,,
cbrn,GrossCountAnalysisResultsType,cbrn:GrossCountAnalysisResultsType,CCC,FALSE,FALSE,FALSE,,,,A data type to provide information on the results of analysis of radiation gross count data.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,GrossCountsType,cbrn:GrossCountsType,CCC,FALSE,FALSE,FALSE,,,,A data type providing gross count radiation data.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
niem-xs,gYear,niem-xs:gYear,CSC,FALSE,FALSE,FALSE,,,,A data type for a Gregorian calendar year with the format CCYY.,,,,,,
xs,gYear,xs:gYear,S,FALSE,FALSE,FALSE,,,,A data type for a Gregorian calendar year with the format CCYY.,niem-xs,gYear,niem-xs:gYear,,,
niem-xs,gYearMonth,niem-xs:gYearMonth,CSC,FALSE,FALSE,FALSE,,,,A data type for a specific gregorian month in a specific gregorian year.,,,,,,
xs,gYearMonth,xs:gYearMonth,S,FALSE,FALSE,FALSE,,,,A data type for a specific gregorian month in a specific gregorian year.,niem-xs,gYearMonth,niem-xs:gYearMonth,,,
ncic,HAICodeSimpleType,ncic:HAICodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for Hair Color.,ncic,HAICodeType,ncic:HAICodeType,,,
ncic,HAICodeType,ncic:HAICodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for Hair Color.,,,,,,
biom,HairColorCodeSimpleType,biom:HairColorCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a hair color,biom,HairColorCodeType,biom:HairColorCodeType,,,
biom,HairColorCodeType,biom:HairColorCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a hair color,,,,,,
edxl-have,HaveAdapterType,edxl-have:HaveAdapterType,CCC,FALSE,TRUE,FALSE,,,,"A data type for EDXL-HAVE which specifies an XML document format that allows the communication of the status of a hospital, its services, and its resources.",,,,,,
it,HazardousMaterialDataType,it:HazardousMaterialDataType,CCC,FALSE,FALSE,FALSE,,,,"A data type providing details of a hazardous material; i.e., a Substance Type that may cause harm.",,,,nc,SubstanceType,nc:SubstanceType
mmucc,HazMatCargoReleaseCodeSimpleType,mmucc:HazMatCargoReleaseCodeSimpleType,S,FALSE,FALSE,FALSE,,,Hazardous materials that were released from the cargo compartment should be documented whether or not the motor vehicle displayed a placard.,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,mmucc,HazMatCargoReleaseCodeType,mmucc:HazMatCargoReleaseCodeType,,,
mmucc,HazMatCargoReleaseCodeType,mmucc:HazMatCargoReleaseCodeType,CSC,FALSE,FALSE,FALSE,,,Hazardous materials that were released from the cargo compartment should be documented whether or not the motor vehicle displayed a placard.,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,,,,,,
aamva_d20,HazMatCodeSimpleType,aamva_d20:HazMatCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for whether a driver was operating a vehicle carrying hazardous materials.,aamva_d20,HazMatCodeType,aamva_d20:HazMatCodeType,,,
aamva_d20,HazMatCodeType,aamva_d20:HazMatCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for whether a driver was operating a vehicle carrying hazardous materials.,,,,,,
m,HazmatDeclarationType,m:HazmatDeclarationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a declaration of hazardous materials within transported goods.,,,,,,
j,HazMatPlacardSuffixTextSimpleType,j:HazMatPlacardSuffixTextSimpleType,S,FALSE,FALSE,FALSE,,,1 digit.,A data type for a placard number from bottom of diamond.,j,HazMatPlacardSuffixTextType,j:HazMatPlacardSuffixTextType,,,
j,HazMatPlacardSuffixTextType,j:HazMatPlacardSuffixTextType,CSC,FALSE,FALSE,FALSE,,,1 digit.,A data type for a placard number from bottom of diamond.,,,,,,
hazmat,HazmatUNCodeSimpleType,hazmat:HazmatUNCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,hazmat,HazmatUNCodeType,hazmat:HazmatUNCodeType,,,
hazmat-3.0.1,HazmatUNCodeSimpleType,hazmat-3.0.1:HazmatUNCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,hazmat-3.0.1,HazmatUNCodeType,hazmat-3.0.1:HazmatUNCodeType,,,
hazmat,HazmatUNCodeType,hazmat:HazmatUNCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,,,,,,
hazmat-3.0.1,HazmatUNCodeType,hazmat-3.0.1:HazmatUNCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a United Nations/North American (UN/NA) Hazardous Materials Code pertaining to a hazardous material.,,,,,,
cyfs,HealthDetailsType,cyfs:HealthDetailsType,CCC,FALSE,FALSE,FALSE,,,,"A data type for the details about a person's mental health, substance abuse, medical health and medications.",,,,,,
cyfs,HealthInsuranceType,cyfs:HealthInsuranceType,CCC,FALSE,FALSE,FALSE,,,,A data type for health insurance information.,,,,nc,InsuranceType,nc:InsuranceType
